id,key,value,type
26448048,exit_to,SR 414 east; Maitland Boulevard,regular
26448048,highway,motorway_junction,regular
26448048,old_ref,47A,regular
26448048,ref,90A,regular
26448700,enforcement,traffic_signals,regular
26448700,highway,traffic_signals,regular
26448700,enforcement,Orange County: http://www.ocfl.net/Portals/0/Library/Traffic-Transportation/docs/AllCameraLocations.pdf,source
26489936,highway,traffic_signals,regular
26771586,highway,traffic_signals,regular
26771587,highway,traffic_signals,regular
26771589,highway,traffic_signals,regular
26785946,highway,traffic_signals,regular
26787543,highway,traffic_signals,regular
26787546,highway,traffic_signals,regular
26794160,highway,traffic_signals,regular
26794166,highway,traffic_signals,regular
26794286,highway,traffic_signals,regular
26909693,highway,traffic_signals,regular
26909698,highway,traffic_signals,regular
26909699,highway,traffic_signals,regular
26909705,highway,traffic_signals,regular
26915714,highway,traffic_signals,regular
26915727,highway,traffic_signals,regular
26915737,highway,traffic_signals,regular
26926225,city,Orlando,addr
26926225,country,US,addr
26926225,postcode,32809,addr
26926225,state,FL,addr
26926225,street,Florida Mall Avenue,addr
26926225,name,Florida Hotel,regular
26926225,tourism,hotel,regular
26926225,website,www.thefloridahotelorlando.com,regular
26927708,railway,switch,regular
26928881,railway,crossing,regular
26935781,railway,switch,regular
26936087,railway,switch,regular
27049675,enforcement,traffic_signals,regular
27049675,highway,traffic_signals,regular
27049675,enforcement,Orange County: http://www.ocfl.net/Portals/0/Library/Traffic-Transportation/docs/AllCameraLocations.pdf,source
27049676,enforcement,traffic_signals,regular
27049676,highway,traffic_signals,regular
27049676,enforcement,Orange County: http://www.ocfl.net/Portals/0/Library/Traffic-Transportation/docs/AllCameraLocations.pdf,source
27336926,exit_to,SR 528 east; International Airport; Cape Canaveral,regular
27336926,highway,motorway_junction,regular
27336926,old_ref,28,regular
27336926,ref,72,regular
27336944,exit_to,SR 482; Sand Lake Road; International Drive,regular
27336944,highway,motorway_junction,regular
27336944,old_ref,29,regular
27336944,ref,74A,regular
27336948,highway,traffic_signals,regular
27336949,highway,traffic_signals,regular
27337003,exit_to,SR 482; Sand Lake Road; International Drive,regular
27337003,highway,motorway_junction,regular
27337003,old_ref,29A,regular
27337003,ref,74A,regular
27337011,exit_to,SR 435 south; International Drive,regular
27337011,highway,motorway_junction,regular
27337011,old_ref,30A,regular
27337011,ref,75A,regular
27337035,highway,traffic_signals,regular
27337036,highway,traffic_signals,regular
27337045,exit_to,Universal,regular
27337045,highway,motorway_junction,regular
27337045,old_ref,29B,regular
27337045,ref,74B,regular
27337066,exit_to,SR 435 south; Kirkman Road; International Drive,regular
27337066,highway,motorway_junction,regular
27337066,old_ref,30A,regular
27337066,ref,75A,regular
27337086,exit_to,SR 435 north; Kirkman Road,regular
27337086,highway,motorway_junction,regular
27337086,old_ref,30B,regular
27337086,ref,75B,regular
28423320,highway,traffic_signals,regular
28423330,highway,traffic_signals,regular
28423336,highway,traffic_signals,regular
28423340,highway,traffic_signals,regular
54218794,exit_to,Par Street,regular
54218794,highway,motorway_junction,regular
